number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
1007,52.769999999999996,2025-01-21 01:09:28.651430,2025-01-21 01:12:37.067687,0 days 00:03:08.416257,0.9497881842546796,1.3104903602347824,0.40868270232653686,0.027793087772746194,14,4,SGD,0.0017386302804032975,2,,False,COMPLETE
1008,52.980000000000004,2025-01-21 01:11:00.308951,2025-01-21 01:12:49.540074,0 days 00:01:49.231123,0.9662061485213698,1.3012953840511852,0.4698306367511306,0.029053936223744612,17,4,SGD,0.0008024676645947075,2,,False,COMPLETE
1009,53.05,2025-01-21 01:12:37.177219,2025-01-21 01:28:16.249868,0 days 00:15:39.072649,1.048107011136348,1.4927515796379323,0.47031735033108996,0.034933305237394206,17,4,SGD,0.001281193134037165,2,,False,COMPLETE
1010,53.21,2025-01-21 01:12:49.637918,2025-01-21 01:14:25.476600,0 days 00:01:35.838682,1.0442238064225542,1.3527879953542603,0.44069073628488914,0.03728027679845319,17,4,SGD,0.0013780621774185761,2,,False,COMPLETE
1011,53.03,2025-01-21 01:14:25.571127,2025-01-21 01:16:47.535106,0 days 00:02:21.963979,1.031296563753382,1.4869016071046393,0.42868497714152853,0.036903487732506894,15,4,SGD,0.001946357224845077,2,,False,COMPLETE
1012,52.87,2025-01-21 01:16:47.645181,2025-01-21 01:19:01.619558,0 days 00:02:13.974377,0.9936582618012283,1.2719371384705662,0.39811608072727034,0.03556277715140772,16,4,SGD,0.0013937800091096894,2,,False,COMPLETE
1013,53.010000000000005,2025-01-21 01:19:01.719849,2025-01-21 01:20:38.487404,0 days 00:01:36.767555,1.044772050843183,1.341723652520496,0.4379994657762611,0.037209249413982196,21,5,SGD,0.0020567472775286314,2,,False,COMPLETE
1014,53.06999999999999,2025-01-21 01:20:38.589308,2025-01-21 01:23:04.547017,0 days 00:02:25.957709,1.090694186697629,1.478010697546834,0.4253624643280733,0.035699652086269205,17,4,SGD,0.001421536208897516,2,,False,COMPLETE
1015,53.169999999999995,2025-01-21 01:23:04.633609,2025-01-21 01:25:31.324861,0 days 00:02:26.691252,0.9896904311606955,1.2133920386787553,0.4416261362150941,0.030855784780047704,18,4,SGD,0.001735487515543002,2,,False,COMPLETE
1016,52.980000000000004,2025-01-21 01:25:31.412230,2025-01-21 01:42:39.980207,0 days 00:17:08.567977,0.9378915719762608,1.161870848445496,0.39071109781595065,0.03157598840582472,18,4,SGD,0.030353352909781205,2,,False,COMPLETE
1017,52.959999999999994,2025-01-21 01:28:16.350399,2025-01-21 01:31:42.128499,0 days 00:03:25.778100,0.9039427760720359,1.3995536148821988,0.395878479989865,0.027718761434478018,18,4,SGD,0.0015811897914283098,2,,False,COMPLETE
1018,52.849999999999994,2025-01-21 01:31:42.225066,2025-01-21 01:48:46.240822,0 days 00:17:04.015756,0.9300197835543524,1.1619624648336653,0.41395559626565265,0.03222333205003926,15,4,SGD,0.0010802646652927122,2,,False,COMPLETE
1019,52.739999999999995,2025-01-21 01:42:40.092660,2025-01-21 01:58:49.405191,0 days 00:16:09.312531,0.8507144677529708,1.1979746044759532,0.41362188679853995,0.030890398436404003,15,4,SGD,0.001043731369859137,2,,False,COMPLETE
1020,49.120000000000005,2025-01-21 01:48:46.336454,2025-01-21 01:50:41.189544,0 days 00:01:54.853090,1.0005137844125516,1.0877572814570302,0.7637554746085282,0.03166227956923432,19,5,SGD,0.0012514416100233882,0,,False,COMPLETE
