number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_n_clusters,params_n_neighbors,state
62,49.24,2025-01-21 16:37:22.644587,2025-01-21 16:37:49.824090,0 days 00:00:27.179503,0.9093366465025559,0.038512395100441646,0.2580690526659124,39,12,COMPLETE
63,50.09,2025-01-21 16:37:49.906753,2025-01-21 16:38:19.039095,0 days 00:00:29.132342,0.7454735668940128,0.07630830097774081,0.5540612017652689,42,20,COMPLETE
64,49.51,2025-01-21 16:38:19.104221,2025-01-21 16:38:48.428712,0 days 00:00:29.324491,0.6131191290395615,0.1198419602418807,0.6207107479679975,44,21,COMPLETE
65,46.0,2025-01-21 16:38:48.524813,2025-01-21 16:39:24.272560,0 days 00:00:35.747747,2.151493979948954,0.07561492394634246,0.9904956272407707,57,18,COMPLETE
66,51.31,2025-01-21 16:39:24.345227,2025-01-21 16:39:51.008148,0 days 00:00:26.662921,1.2380127849738407,0.2679584457806235,0.37326302143869694,35,6,COMPLETE
67,45.739999999999995,2025-01-21 16:39:51.086232,2025-01-21 16:40:15.223404,0 days 00:00:24.137172,0.4792676659573346,0.3872648973847355,0.19330196664142715,31,6,COMPLETE
68,51.949999999999996,2025-01-21 16:40:15.288885,2025-01-21 16:40:46.305584,0 days 00:00:31.016699,1.3600415147961435,0.5978837032082654,0.4112274603853371,36,4,COMPLETE
69,52.080000000000005,2025-01-21 16:40:46.394777,2025-01-21 16:41:12.532164,0 days 00:00:26.137387,1.3892836590672006,1.0043798212093673,0.40678736084519446,35,4,COMPLETE
70,52.09,2025-01-21 16:41:12.599684,2025-01-21 16:41:38.751196,0 days 00:00:26.151512,1.3328822608202837,1.0111372825014613,0.3865707284658636,36,4,COMPLETE
71,51.190000000000005,2025-01-21 16:41:38.833658,2025-01-21 16:42:06.392622,0 days 00:00:27.558964,2.662715973821295,1.3851511117420199,0.37480995955001134,35,4,COMPLETE
72,45.07,2025-01-21 16:42:06.475897,2025-01-21 16:42:32.666430,0 days 00:00:26.190533,2.6551509499295247,1.3966141273739447,0.1381880904622572,35,2,COMPLETE
73,52.27,2025-01-21 16:42:32.732770,2025-01-21 16:42:56.243752,0 days 00:00:23.510982,1.3740231746389564,2.161114063917827,0.3895212973907375,28,4,COMPLETE
74,51.6,2025-01-21 16:42:56.332595,2025-01-21 16:43:18.810541,0 days 00:00:22.477946,1.210000776267882,3.9438425805409016,0.3918988233950105,26,4,COMPLETE
75,51.739999999999995,2025-01-21 16:43:18.884380,2025-01-21 16:43:40.452408,0 days 00:00:21.568028,1.2692826921679965,3.8270098159545767,0.4057123403746845,25,4,COMPLETE
76,48.38,2025-01-21 16:43:40.522961,2025-01-21 16:44:02.357888,0 days 00:00:21.834927,1.3514899431367802,3.437877737356601,0.21106942878867435,25,4,COMPLETE
77,48.24,2025-01-21 16:44:02.431178,2025-01-21 16:44:21.659345,0 days 00:00:19.228167,4.761112802143357,5.791718999076392,0.7838029065274271,19,4,COMPLETE
78,51.4,2025-01-21 16:44:21.725412,2025-01-21 16:44:44.857466,0 days 00:00:23.132054,1.9127091821318618,2.8448229550090516,0.3578208680558144,28,2,COMPLETE
79,50.870000000000005,2025-01-21 16:44:44.931991,2025-01-21 16:45:07.589842,0 days 00:00:22.657851,2.2773609377158155,3.247792372887493,0.3385561994486984,27,2,COMPLETE
80,50.21,2025-01-21 16:45:07.644441,2025-01-21 16:45:25.383977,0 days 00:00:17.739536,1.2436993541549979,0.7644304345115148,0.23584160107892857,15,5,COMPLETE
81,51.76,2025-01-21 16:45:25.440336,2025-01-21 16:45:48.338780,0 days 00:00:22.898444,1.8447340695291927,2.676962449189745,0.46770778179682465,28,3,COMPLETE
82,51.85999999999999,2025-01-21 16:45:48.434307,2025-01-21 16:46:11.418397,0 days 00:00:22.984090,1.689770020629647,2.6655773791587674,0.46747454692547613,28,3,COMPLETE
83,43.580000000000005,2025-01-21 16:46:11.495981,2025-01-21 16:46:34.769668,0 days 00:00:23.273687,1.9451321075788433,3.8515679591211898,1.1107304248109215,28,3,COMPLETE
84,50.54,2025-01-21 16:46:34.837211,2025-01-21 16:46:55.160491,0 days 00:00:20.323280,3.385649362579921,2.3656609724378157,0.4538701535569353,23,2,COMPLETE
85,50.43,2025-01-21 16:46:55.233926,2025-01-21 16:47:13.965347,0 days 00:00:18.731421,1.8200526662627217,2.09459326262355,0.6690631797610294,17,3,COMPLETE
86,46.050000000000004,2025-01-21 16:47:14.036877,2025-01-21 16:47:39.359226,0 days 00:00:25.322349,4.186601831429656,1.5135164832037729,0.8793791512755161,33,1,COMPLETE
87,51.74999999999999,2025-01-21 16:47:39.445616,2025-01-21 16:48:02.773411,0 days 00:00:23.327795,1.4364085087989997,4.459959604668776,0.4493485701906169,29,4,COMPLETE
88,20.23,2025-01-21 16:48:02.835395,2025-01-21 16:48:29.885716,0 days 00:00:27.050321,1.4872342883689884,4.417624418002296,0.0063937649727820005,38,4,COMPLETE
89,52.349999999999994,2025-01-21 16:48:29.963196,2025-01-21 16:48:50.415138,0 days 00:00:20.451942,1.0141083208534516,1.0222212585551138,0.48472028628828273,23,5,COMPLETE
90,36.4,2025-01-21 16:48:50.504341,2025-01-21 16:49:10.286371,0 days 00:00:19.782030,1.0464160963589775,0.8471041308201417,1.5759758552224805,20,5,COMPLETE
91,41.97,2025-01-21 16:49:10.359588,2025-01-21 16:49:31.407089,0 days 00:00:21.047501,3.0157121249789594,1.6265993225462085,1.2276744593853672,24,3,COMPLETE
92,50.870000000000005,2025-01-21 16:49:31.480920,2025-01-21 16:49:54.776720,0 days 00:00:23.295800,2.4279270973263816,4.708674725431506,0.3026000512029297,29,4,COMPLETE
93,51.949999999999996,2025-01-21 16:49:54.854816,2025-01-21 16:50:19.255510,0 days 00:00:24.400694,1.2444800072498352,1.1591054900901165,0.4560919862201747,32,1,COMPLETE
94,51.65,2025-01-21 16:50:19.328839,2025-01-21 16:50:43.835757,0 days 00:00:24.506918,0.9244582806578302,1.1906837234863152,0.5111141730254627,32,1,COMPLETE
95,51.38,2025-01-21 16:50:43.922363,2025-01-21 16:51:00.722880,0 days 00:00:16.800517,1.4796204499413468,0.6049912280392417,0.44406241470631347,12,5,COMPLETE
96,50.62,2025-01-21 16:51:00.799491,2025-01-21 16:51:27.677780,0 days 00:00:26.878289,2.038919089579388,1.850926299166361,0.6504712629124543,38,8,COMPLETE
97,0.5,2025-01-21 16:51:27.764664,2025-01-21 16:51:54.140165,0 days 00:00:26.375501,0.019464480304860737,2.3543457982064075,0.24158396114085898,33,1,COMPLETE
98,47.54,2025-01-21 16:51:54.236786,2025-01-21 16:52:13.067416,0 days 00:00:18.830630,1.1346224262068036,0.9798220634890189,0.8211692208470799,18,3,COMPLETE
99,28.01,2025-01-21 16:52:13.139229,2025-01-21 16:52:34.148237,0 days 00:00:21.009008,0.8232695849626008,1.176435772551875,2.2397162115786933,22,2,COMPLETE
100,46.69,2025-01-21 16:52:34.215762,2025-01-21 16:53:01.227460,0 days 00:00:27.011698,1.7507421877565374,2.483990581646111,0.146541060101145,37,7,COMPLETE
101,46.77,2025-01-21 16:53:01.306827,2025-01-21 16:53:24.947364,0 days 00:00:23.640537,0.634730162571315,0.6875217308514295,0.18761025198909445,30,5,COMPLETE
102,51.66,2025-01-21 16:53:25.014152,2025-01-21 16:53:49.825878,0 days 00:00:24.811726,0.8845566520257488,1.1871044142523834,0.5293195565151703,32,1,COMPLETE
103,51.559999999999995,2025-01-21 16:53:49.898184,2025-01-21 16:54:10.700617,0 days 00:00:20.802433,1.0157448408208176,1.8613365015718273,0.5636743210846836,24,3,COMPLETE
104,49.33,2025-01-21 16:54:10.794203,2025-01-21 16:54:33.397943,0 days 00:00:22.603740,1.5652833032451237,0.5037106835955347,0.691197157624092,27,1,COMPLETE
105,51.72,2025-01-21 16:54:33.479290,2025-01-21 16:54:58.241514,0 days 00:00:24.762224,1.3842495374341721,2.782155108775432,0.4656550441957357,32,2,COMPLETE
106,49.66,2025-01-21 16:54:58.306140,2025-01-21 16:55:21.631892,0 days 00:00:23.325752,3.182943553699904,2.7654592030081098,0.3000085427232617,29,2,COMPLETE
107,51.99,2025-01-21 16:55:21.695227,2025-01-21 16:55:47.403573,0 days 00:00:25.708346,1.3223208491787886,0.9307727782671977,0.4284600621570004,34,5,COMPLETE
108,19.139999999999997,2025-01-21 16:55:47.468919,2025-01-21 16:56:16.598695,0 days 00:00:29.129776,2.263151075474123,5.220877219173072,0.001282627153826382,42,6,COMPLETE
109,47.08,2025-01-21 16:56:16.677736,2025-01-21 16:56:43.055060,0 days 00:00:26.377324,4.724298487156201,0.9331870837393113,0.24072949173037542,36,5,COMPLETE
110,0.52,2025-01-21 16:56:43.135862,2025-01-21 16:57:10.127522,0 days 00:00:26.991660,0.003931937814289179,1.920059113887023,0.429436477369429,34,7,COMPLETE
111,49.669999999999995,2025-01-21 16:57:10.198512,2025-01-21 16:57:30.070643,0 days 00:00:19.872131,0.45714579067934474,1.6751875728232564,0.3214994795444564,21,4,COMPLETE
112,52.09,2025-01-21 16:57:30.161237,2025-01-21 16:57:54.046504,0 days 00:00:23.885267,1.2492783527990239,3.1582931933028764,0.45370335283091456,30,3,COMPLETE
113,50.4,2025-01-21 16:57:54.125885,2025-01-21 16:58:16.712414,0 days 00:00:22.586529,1.2258003290915376,3.2675753057446433,0.6368059776760773,26,3,COMPLETE
114,48.11,2025-01-21 16:58:16.781128,2025-01-21 16:58:47.453991,0 days 00:00:30.672863,1.750455750411922,1.103197439157111,0.4106540226197015,48,47,COMPLETE
115,19.34,2025-01-21 16:58:47.536226,2025-01-21 16:59:09.109785,0 days 00:00:21.573559,0.819660761498897,4.050491788970689,0.026849891019527092,25,4,COMPLETE
116,51.559999999999995,2025-01-21 16:59:09.185716,2025-01-21 16:59:33.074884,0 days 00:00:23.889168,1.3873847862409692,1.4084026690449578,0.27477462505077577,30,6,COMPLETE
117,52.15,2025-01-21 16:59:33.158173,2025-01-21 17:00:00.138393,0 days 00:00:26.980220,1.0306493148004652,0.7385409846266013,0.5129323843459532,37,9,COMPLETE
118,51.849999999999994,2025-01-21 17:00:00.206120,2025-01-21 17:00:29.498799,0 days 00:00:29.292679,0.7231735104310162,0.7263396190345942,0.5289189702459968,44,9,COMPLETE
119,45.37,2025-01-21 17:00:29.556101,2025-01-21 17:00:56.100410,0 days 00:00:26.544309,0.6801883946955878,0.34082582216653645,0.914473563109394,37,10,COMPLETE
120,41.88,2025-01-21 17:00:56.175684,2025-01-21 17:01:26.446236,0 days 00:00:30.270552,0.06357955869906626,0.4785075602899219,0.5529470919624574,44,8,COMPLETE
121,51.7,2025-01-21 17:01:26.543350,2025-01-21 17:01:55.387056,0 days 00:00:28.843706,1.0950292472318617,0.6746067034931231,0.3392765052361855,41,9,COMPLETE
122,49.26,2025-01-21 17:01:55.480197,2025-01-21 17:02:21.755264,0 days 00:00:26.275067,2.422847585848268,0.7757134055197922,0.7147015420755379,34,3,COMPLETE
123,52.28,2025-01-21 17:02:21.852307,2025-01-21 17:02:48.141296,0 days 00:00:26.288989,0.9849883694167533,0.8774824899842308,0.48913776591999053,36,5,COMPLETE
124,51.83,2025-01-21 17:02:48.226030,2025-01-21 17:03:17.647932,0 days 00:00:29.421902,1.0019112599896396,0.614090378794685,0.4941435196418667,43,9,COMPLETE
125,50.93,2025-01-21 17:03:17.718229,2025-01-21 17:03:47.304221,0 days 00:00:29.585992,0.5495193273553771,0.5827533963287104,0.5651252722347181,43,9,COMPLETE
126,44.080000000000005,2025-01-21 17:03:47.358501,2025-01-21 17:04:17.501511,0 days 00:00:30.143010,0.938136953722081,0.890581508702931,1.0795236194041447,47,9,COMPLETE
127,47.17,2025-01-21 17:04:17.591219,2025-01-21 17:04:50.720882,0 days 00:00:33.129663,0.6524838458203106,0.7289866830793628,0.8122182716206475,53,11,COMPLETE
128,51.6,2025-01-21 17:04:50.776287,2025-01-21 17:05:17.170217,0 days 00:00:26.393930,0.7895098648690886,0.4157461940507206,0.34724921840543954,36,5,COMPLETE
129,51.03,2025-01-21 17:05:17.256432,2025-01-21 17:05:45.478966,0 days 00:00:28.222534,1.0279833751313683,1.08672774732741,0.6245856675215006,40,7,COMPLETE
130,52.07000000000001,2025-01-21 17:05:45.554329,2025-01-21 17:06:12.882026,0 days 00:00:27.327697,1.1799249084482148,0.5250593041512424,0.4907888246182647,38,6,COMPLETE
131,50.529999999999994,2025-01-21 17:06:12.944009,2025-01-21 17:06:40.760644,0 days 00:00:27.816635,1.5806738520474182,0.5234687783814372,0.274252380683489,40,6,COMPLETE
132,52.07000000000001,2025-01-21 17:06:40.841345,2025-01-21 17:07:07.690615,0 days 00:00:26.849270,1.1475776095934906,0.617288727523901,0.5006623227242475,38,6,COMPLETE
133,51.04,2025-01-21 17:07:07.783091,2025-01-21 17:07:34.243483,0 days 00:00:26.460392,1.3562246660201145,0.2917138743274877,0.412572601436285,37,5,COMPLETE
134,51.99,2025-01-21 17:07:34.330580,2025-01-21 17:08:01.805229,0 days 00:00:27.474649,1.23784615608727,0.85100800229956,0.37519646350945346,39,8,COMPLETE
