number,value,datetime_start,datetime_complete,duration,params_centroids_new_old_ratio,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
27,51.53,2025-01-15 03:37:55.642674,2025-01-15 03:43:07.709800,0 days 00:05:12.067126,0.35681597607847243,1.6315203018587758,1.5749864682382677,0.3366068951737709,0.00460118138798515,9,3,SGD,0.019093537109212404,0,,False,COMPLETE
28,50.1,2025-01-15 03:43:07.771520,2025-01-15 03:52:18.841098,0 days 00:09:11.069578,0.20096553807400092,0.9697065433033903,1.451636300906324,0.2291290101375065,0.011519541416634112,17,5,SGD,0.00501249576462687,0,,False,COMPLETE
29,51.76,2025-01-15 03:52:18.902399,2025-01-15 03:55:19.065034,0 days 00:03:00.162635,0.431755154550063,1.2409305352578177,1.843782738060675,0.5413870296073429,0.02821898668789226,10,5,SGD,0.08304046930412295,0,,False,COMPLETE
30,51.74999999999999,2025-01-15 03:55:19.135091,2025-01-15 03:58:37.741891,0 days 00:03:18.606800,0.29444238024416985,1.1690313178562743,1.1884115047344443,0.4576267929146033,0.019774119405223885,24,10,SGD,0.23377376772838077,0,,False,COMPLETE
31,52.910000000000004,2025-01-15 03:58:37.815540,2025-01-15 04:04:39.727337,0 days 00:06:01.911797,0.26887620831340603,1.5241638290724961,1.8537320016189025,0.4371756240272827,0.005234418242474058,17,3,SGD,0.4417176992068412,0,,False,COMPLETE
32,52.99,2025-01-15 04:04:39.807582,2025-01-15 04:09:59.574460,0 days 00:05:19.766878,0.05141330971654526,1.3175198926321057,1.6032505037830365,0.4443227148091622,0.008187082640403917,19,3,SGD,0.49664666915667355,0,,False,COMPLETE
33,52.05,2025-01-15 04:09:59.658930,2025-01-15 04:13:50.073528,0 days 00:03:50.414598,0.07303619185090598,1.5483757033100585,1.878827252351223,0.5804991151057995,0.009651187123746076,17,3,SGD,0.5303904945565387,0,,False,COMPLETE
34,51.739999999999995,2025-01-15 04:13:50.140163,2025-01-15 04:18:10.894733,0 days 00:04:20.754570,0.48089608551795804,1.8352883347226991,1.6480793258747597,0.35078349892490357,0.003981206371945822,7,3,SGD,0.34622143054418447,2,0.4167459234094242,True,COMPLETE
35,52.459999999999994,2025-01-15 04:18:10.969195,2025-01-15 04:21:46.243194,0 days 00:03:35.273999,0.3823577378538626,1.3282564142905577,1.6573130223221653,0.4263627649944517,0.006860612282520039,21,7,SGD,0.3529285980177202,0,,False,COMPLETE
36,51.41,2025-01-15 04:21:46.302376,2025-01-15 04:25:23.635850,0 days 00:03:37.333474,0.2542206047738253,1.607360968144539,1.8682221210415206,0.5124048712125663,0.001992906310369035,31,11,SGD,0.15245375912549036,0,4.492480845632045,True,COMPLETE
37,51.559999999999995,2025-01-15 04:25:23.707895,2025-01-15 04:33:33.683132,0 days 00:08:09.975237,0.11589710251546304,0.9590225131676716,1.3703846109527635,0.2969655237934456,0.0012334301766186069,27,8,SGD,0.5407618866744823,2,,False,COMPLETE
38,51.18000000000001,2025-01-15 04:33:33.753802,2025-01-15 04:38:20.280098,0 days 00:04:46.526296,0.3367258086353354,1.1231059887738253,1.6099698609581963,0.626198880570409,0.00850657697942568,14,2,SGD,0.3588602135726239,0,,False,COMPLETE
39,52.64,2025-01-15 04:38:20.337925,2025-01-15 04:44:57.792979,0 days 00:06:37.455054,0.41804861016429407,1.5006134999540715,1.7032109150056378,0.41272153739614464,0.014957901168777953,18,2,SGD,0.6549768706025034,0,6.480193858153909,True,COMPLETE
40,45.540000000000006,2025-01-15 04:44:57.857790,2025-01-15 04:52:11.327678,0 days 00:07:13.469888,0.16342325191344514,1.2508152483357087,1.1364852547336957,0.9865691721929719,0.002403216970869486,35,14,SGD,0.25447148446519746,2,,False,COMPLETE
41,52.71,2025-01-15 04:52:11.401199,2025-01-15 04:59:23.857273,0 days 00:07:12.456074,0.20873871193059612,1.402096507581854,1.4806184858958524,0.4880096906386347,0.0056435163521296955,22,5,SGD,0.0509647908710245,0,,False,COMPLETE
